from,to
140,4172
3093,4172
3643,4172
3674,4172
3676,4172
3791,4172
3897,4172
3940,4172
3996,4172
4035,4172
4038,4172
4042,4172
4070,4172
4093,4172
4110,4172
4111,4172
95,4184
140,4184
805,4184
1035,4184
1185,4184
3093,4184
3213,4184
3676,4184
3697,4184
3725,4184
3897,4184
3938,4184
3954,4184
3958,4184
3975,4184
3996,4184
4035,4184
4038,4184
4042,4184
4070,4184
95,4191
140,4191
1380,4191
3093,4191
3554,4191
3663,4191
3674,4191
3676,4191
3722,4191
3767,4191
3781,4191
3839,4191
3895,4191
3897,4191
3938,4191
3954,4191
3958,4191
3996,4191
4038,4191
4070,4191
4111,4191
4172,4191
3674,4201
3996,4201
103,4218
3093,4226
3674,4226
3839,4226
3897,4226
3958,4226
3996,4226
4042,4226
4110,4226
4111,4226
4172,4226
1380,4228
1756,4228
3213,4228
3554,4228
3663,4228
3674,4228
3895,4228
3954,4228
4008,4228
4015,4228
4070,4228
4111,4228
4164,4228
4201,4228
4226,4228
12,4231
140,4231
1185,4231
1460,4231
3093,4231
3644,4231
3954,4231
3972,4231
3996,4231
4016,4231
4035,4231
4042,4231
4110,4231
4184,4231
4226,4231
1496,4236
95,4239
140,4239
2440,4239
3093,4239
3213,4239
3554,4239
3674,4239
3676,4239
3767,4239
3897,4239
3930,4239
3954,4239
3972,4239
3975,4239
3996,4239
4035,4239
4038,4239
4042,4239
4070,4239
4089,4239
4093,4239
4110,4239
4111,4239
4172,4239
4184,4239
441,4251
528,4251
701,4252
697,4272
3263,4272
1237,4273
3306,4273
3093,4277
3213,4277
3224,4277
3501,4277
3554,4277
3674,4277
3725,4277
3954,4277
3972,4277
4070,4277
4093,4277
4110,4277
4111,4277
4228,4277
847,4278
95,4282
140,4282
328,4282
769,4282
805,4282
1380,4282
3674,4282
3676,4282
3839,4282
3897,4282
3954,4282
3958,4282
3972,4282
3996,4282
4035,4282
4038,4282
4042,4282
4070,4282
4089,4282
4111,4282
4172,4282
4184,4282
4191,4282
4239,4282
2879,4287
4278,4289
3897,4295
4038,4295
4284,4296
1380,4299
3093,4299
3213,4299
3663,4299
3839,4299
3897,4299
3954,4299
3958,4299
4008,4299
4042,4299
4191,4299
4226,4299
4228,4299
2941,4309
3897,4357
3996,4357
4038,4357
4111,4357
4282,4357
12,4361
3093,4361
3644,4361
3930,4361
3954,4361
3972,4361
4035,4361
4042,4361
4184,4361
4226,4361
4231,4361
12,4364
3448,4366
95,4369
328,4369
3213,4369
3674,4369
3725,4369
3954,4369
3972,4369
3996,4369
4016,4369
4038,4369
4070,4369
4184,4369
4191,4369
4228,4369
4231,4369
4277,4369
4282,4369
4299,4369
1756,4377
3213,4377
3554,4377
3676,4377
3940,4377
3954,4377
4070,4377
4228,4377
4277,4377
3093,4385
3213,4385
3897,4385
4191,4385
4228,4385
4377,4385
3093,4412
3554,4412
3767,4412
3958,4412
3996,4412
4009,4412
4046,4412
4093,4412
4111,4412
4228,4412
4239,4412
4277,4412
236,4423
12,4427
3093,4427
3554,4427
3674,4427
3996,4427
4038,4427
4046,4427
4070,4427
4093,4427
4111,4427
4172,4427
4226,4427
4239,4427
4412,4427
4038,4440
2506,4441
3722,4441
3839,4441
12,4445
95,4445
328,4445
769,4445
3093,4445
3554,4445
3676,4445
3725,4445
3895,4445
3897,4445
3938,4445
3958,4445
3996,4445
4038,4445
4042,4445
4070,4445
4111,4445
4184,4445
4191,4445
4226,4445
4228,4445
4239,4445
4282,4445
4369,4445
2506,4448
3558,4448
3674,4448
3839,4448
4441,4448
95,4470
140,4470
3093,4470
3213,4470
3554,4470
3611,4470
3643,4470
3674,4470
3676,4470
3722,4470
3767,4470
3781,4470
3839,4470
3897,4470
3954,4470
3958,4470
3996,4470
4008,4470
4038,4470
4042,4470
4070,4470
4093,4470
4110,4470
4111,4470
4172,4470
4184,4470
4191,4470
4201,4470
4226,4470
4228,4470
4239,4470
4282,4470
4295,4470
4299,4470
4357,4470
4369,4470
4377,4470
4412,4470
4427,4470
4440,4470
4445,4470
4038,4471
4282,4471
4369,4471
900,4473
3954,4499
4089,4499
95,4501
3093,4501
3554,4501
3897,4501
3996,4501
4038,4501
4070,4501
4093,4501
4111,4501
4228,4501
4239,4501
4277,4501
4369,4501
4412,4501
4427,4501
4445,4501
4470,4501
3366,4504
95,4513
2506,4513
3093,4513
3213,4513
3554,4513
3674,4513
3676,4513
3822,4513
3839,4513
3897,4513
3938,4513
3958,4513
3996,4513
4008,4513
4038,4513
4070,4513
4093,4513
4110,4513
4111,4513
4172,4513
4191,4513
4226,4513
4228,4513
4239,4513
4299,4513
4385,4513
4427,4513
4470,4513
4377,4518
3093,4519
3224,4519
3938,4519
3954,4519
3940,4527
4038,4527
4070,4527
4093,4527
4111,4527
4172,4527
4470,4527
1184,4530
12,4551
140,4551
3093,4551
3213,4551
3554,4551
3676,4551
3897,4551
3954,4551
3975,4551
3996,4551
4035,4551
4038,4551
4042,4551
4070,4551
4093,4551
4110,4551
4111,4551
4172,4551
4226,4551
4239,4551
4282,4551
4357,4551
4445,4551
4470,4551
4501,4551
4513,4551
861,4552
95,4557
140,4557
328,4557
347,4557
769,4557
805,4557
1035,4557
1380,4557
3093,4557
3213,4557
3554,4557
3643,4557
3674,4557
3676,4557
3715,4557
3722,4557
3725,4557
3767,4557
3791,4557
3839,4557
3897,4557
3930,4557
3938,4557
3954,4557
3958,4557
3972,4557
3975,4557
3996,4557
4015,4557
4016,4557
4035,4557
4038,4557
4042,4557
4070,4557
4089,4557
4093,4557
4110,4557
4111,4557
4172,4557
4184,4557
4191,4557
4228,4557
4231,4557
4239,4557
4277,4557
4282,4557
4295,4557
4299,4557
4357,4557
4369,4557
4377,4557
4385,4557
4427,4557
4445,4557
4470,4557
4499,4557
4501,4557
4513,4557
4519,4557
4551,4557
3674,4570
4228,4570
423,4583
3356,4583
4448,4591
3172,4609
3093,4612
3554,4612
3643,4612
3676,4612
3767,4612
3897,4612
3996,4612
4038,4612
4042,4612
4093,4612
4110,4612
4111,4612
4172,4612
4226,4612
4427,4612
4470,4612
4513,4612
4527,4612
4551,4612
4557,4612
1913,4613
12,4617
95,4617
3213,4617
3554,4617
3674,4617
3767,4617
3897,4617
3996,4617
4035,4617
4038,4617
4042,4617
4093,4617
4110,4617
4111,4617
4172,4617
4226,4617
4228,4617
4231,4617
4239,4617
4357,4617
4427,4617
4470,4617
4501,4617
4513,4617
4551,4617
4557,4617
4612,4617
12,4622
3554,4622
