song_id,artist_name,track_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic
73,the clovers,don't you know i love you,1956,pop,0.126,0.061,0.003,0.312,0.003,0.003,0.003,0.003,0.172,0.003,0.11,0.003,0.003,0.003,0.003,0.163,0.149,0.578,0.505,0.817,0,0.706,0.241,world/life
76,the platters,you've changed,1956,pop,0.196,0.002,0.002,0.489,0.002,0.002,0.002,0.045,0.296,0.002,0.002,0.002,0.002,0.002,0.002,0.147,0.002,0.35,0.663,0.857,0,0.383,0.322,world/life
77,harry belafonte,i do adore her,1956,pop,0.392,0.001,0.001,0.163,0.001,0.001,0.001,0.222,0.001,0.028,0.001,0.067,0.12,0.001,0.001,0.384,0.001,0.666,0.56,0.974,0,0.862,0.289,sadness
78,jerry vale,non dimenticar,1956,pop,0.201,0.002,0.002,0.22,0.038,0.002,0.002,0.527,0.002,0.002,0.002,0.002,0.186,0.002,0.002,0.002,0.002,0.231,0.544,0.849,0,0.124,0.214,romantic
79,jerry vale,al di la,1956,pop,0.131,0.002,0.002,0.063,0.002,0.002,0.002,0.133,0.002,0.002,0.002,0.002,0.265,0.002,0.002,0.503,0.002,0.279,0.593,0.834,0,0.224,0.291,sadness
80,harry belafonte,matilda,1956,pop,0.462,0.001,0.032,0.001,0.001,0.054,0.097,0.001,0.001,0.417,0.11,0.257,0.001,0.001,0.001,0.001,0.001,0.588,0.661,0.705,0,0.965,0.434,obscene
81,the clovers,devil or angel,1956,pop,0.176,0.002,0.351,0.002,0.127,0.089,0.002,0.166,0.062,0.002,0.002,0.002,0.002,0.002,0.105,0.002,0.08,0.657,0.576,0.874,0,0.717,0.239,violence
85,johnny mathis,in other words (fly me to the moon),1956,pop,0.106,0.003,0.003,0.069,0.003,0.003,0.003,0.288,0.003,0.003,0.45,0.003,0.149,0.003,0.003,0.003,0.003,0.191,0.591,0.952,0,0.068,0.246,music
86,lavern baker,i'll never be free,1956,pop,0.186,0.002,0.002,0.002,0.066,0.002,0.002,0.461,0.002,0.002,0.002,0.002,0.041,0.203,0.041,0.167,0.002,0.749,0.68,0.911,0,0.653,0.301,romantic
89,johnny mathis,it might as well be spring,1956,pop,0.342,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.463,0.001,0.304,0.001,0.165,0.001,0.001,0.178,0.53,0.892,0,0.168,0.209,music
91,the platters,september in the rain,1956,pop,0.181,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.78,0.002,0.002,0.002,0.002,0.002,0.002,0.286,0.663,0.97,0.001,0.242,0.235,music
93,jerry vale,more,1956,pop,0.231,0.002,0.002,0.002,0.002,0.002,0.002,0.707,0.002,0.002,0.002,0.105,0.002,0.002,0.083,0.002,0.002,0.155,0.601,0.939,0.004,0.052,0.253,romantic
94,jerry vale,summertime in venice,1956,pop,0.156,0.003,0.003,0.003,0.003,0.003,0.003,0.077,0.003,0.003,0.312,0.003,0.003,0.003,0.003,0.152,0.101,0.178,0.508,0.789,0,0.196,0.214,music
